CUST ACCT #,CUSTOMER NAME,SALES REP ID,SALES REP LAST NAME,USER LOGIN,OPPORTUNITY NAME,ESTIMATED_ANNUALIZED_SALES,ESTIMATED_ANNUALIZED_GP,ESTIMATED_ANNUALIZED_GP_PERCENT,ESTIMATED_MONTHLY_SALES,ESTIMATED_MONTHLY_GP,ESTIMATED_MONTHLY_GP_PERCENT,PREV12MO_SALES,PREV12MO_GP,PREV12MO_GP_PERCENT,MTD_SALES,MTD_GP,MTD_GP_PERCENT
"WE1153","BRAKES PLUS #108","171","DOMANSKI KEN","kdomanski","five mile",2004,0,0,167,0,0,347.000000,93.000000,26.92%,256.610000,78.270000,30.50%
"WE1155","BRAKES PLUS #111","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,131.000000,41.000000,31.80%,81.310000,27.320000,33.60%
"WE1599","DON'S CORNER","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,427.000000,129.000000,30.24%,160.090000,42.010000,26.24%
"WE1602","ELITE DIESEL ENGINEERING","171","DOMANSKI KEN","kdomanski","five mile",12000,0,0,1000,0,0,22.000000,6.000000,31.38%,0.000000,0.000000,
"WE1628","FACTORY TRAINED AUTO","171","DOMANSKI KEN","kdomanski","five mile",72000,0,0,6000,0,0,1745.000000,528.000000,30.26%,1878.250000,647.100000,34.45%
"WE2653","FIRESTONE BFS#010596-BROADWAY","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,149.000000,59.000000,39.76%,-16.500000,-1.500000,9.09%
"WE3903","HIGHLAND VENTURES DBA THE","171","DOMANSKI KEN","kdomanski","five mile",12000,0,0,1000,0,0,-5.000000,-5.000000,100.00%,0.000000,0.000000,
"WE2094","JUST BRAKES - LAKEWOOD #56","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,0.000000,0.000000,,0.000000,0.000000,
"DV2491","JUST BRAKES - WADSWORTH #50","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,16.000000,3.000000,18.95%,0.000000,0.000000,
"WE2093","JUST BRAKES-38TH STREET #52","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,0.000000,0.000000,,0.000000,0.000000,
"WE2092","JUST BRAKES-WEST COLFAX #51","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,0.000000,0.000000,,0.000000,0.000000,
"WE1644","LAKESIDE FIRESTONE","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,90.000000,31.000000,34.86%,-263.560000,-83.470000,31.67%
"WE2781","LEEDS WEST/ MIDAS AUTO #10","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,29.000000,6.000000,22.97%,0.000000,0.000000,
"DE2711","LEEDS WEST/ MIDAS AUTO #11","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,0.000000,0.000000,,0.000000,0.000000,
"WE2860","MARCHESE SPECIALTIES","171","DOMANSKI KEN","kdomanski","five mile",30000,0,0,2500,0,0,1416.000000,386.000000,27.27%,1080.460000,401.140000,37.13%
"WE2905","MERRILL AUTO ELECTRIC","171","DOMANSKI KEN","kdomanski","five mile",36000,0,0,3000,0,0,595.000000,140.000000,23.60%,2292.660000,608.200000,26.53%
"WE2907","MERRILL AXLE & WHEEL","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,214.000000,73.000000,34.38%,0.000000,0.000000,
"WE2788","MIDAS AUTO SERVICE EXPERTS","171","DOMANSKI KEN","kdomanski","five mile",12000,0,0,1000,0,0,27.000000,8.000000,29.47%,0.000000,0.000000,
"WE1987","NATE'S IMPORT SERVICE","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,333.000000,121.000000,36.39%,-46.800000,2.820000,-6.03%
"WE3202","PAPAFRANKS AUTO PLAZA","171","DOMANSKI KEN","kdomanski","five mile",12000,0,0,1000,0,0,0.000000,0.000000,,0.000000,0.000000,
"WE3598","QUALITY FIRST AUTOMOTIVE","171","DOMANSKI KEN","kdomanski","five mile",30000,0,0,2500,0,0,448.000000,72.000000,16.24%,312.440000,113.200000,36.23%
"WE3810","SUNSET AUTO","171","DOMANSKI KEN","kdomanski","five mile",0,0,0,0,0,0,523.000000,158.000000,30.36%,720.070000,233.730000,32.46%
"WE1655","WESTLAND FIRESTONE","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,164.000000,54.000000,33.26%,0.000000,0.000000,
"WE2220","WHEATRIDGE AUTO SERVICES","171","DOMANSKI KEN","kdomanski","five mile",18000,0,0,1500,0,0,182.000000,47.000000,25.98%,-8.780000,-4.750000,54.10%
