CUST ACCT #,CUSTOMER NAME,SALES REP ID,SALES REP LAST NAME,USER LOGIN,OPPORTUNITY NAME,ESTIMATED_ANNUALIZED_SALES,ESTIMATED_ANNUALIZED_GP,ESTIMATED_ANNUALIZED_GP_PERCENT,ESTIMATED_MONTHLY_SALES,ESTIMATED_MONTHLY_GP,ESTIMATED_MONTHLY_GP_PERCENT,PREV12MO_SALES,PREV12MO_GP,PREV12MO_GP_PERCENT,MTD_SALES,MTD_GP,MTD_GP_PERCENT
"WE3202","PAPAFRANKS AUTO PLAZA","171","DOMANSKI KEN","kdomanski","five mile",12000,0,0,1000,0,0,0.000000,0.000000,,0.000000,0.000000,
"WE1628","FACTORY TRAINED AUTO","171","DOMANSKI KEN","kdomanski","five mile",72000,0,0,6000,0,0,1745.000000,528.000000,30.26%,1878.250000,647.100000,34.45%
"WE1628","FACTORY TRAINED AUTO","171","DOMANSKI KEN","kdomanski","fuel pump",4800,0,0,400,0,0,1745.000000,528.000000,30.26%,1878.250000,647.100000,34.45%
"WE1628","FACTORY TRAINED AUTO","171","DOMANSKI KEN","kdomanski","ROTATING ELECTRIC",500,0,0,42,0,0,65.000000,11.000000,17.43%,-282.510000,-282.510000,100.00%
"WE2093","JUST BRAKES-38TH STREET #52","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,0.000000,0.000000,,0.000000,0.000000,
"DV2491","JUST BRAKES - WADSWORTH #50","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,16.000000,3.000000,18.95%,0.000000,0.000000,
"WE2092","JUST BRAKES-WEST COLFAX #51","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,0.000000,0.000000,,0.000000,0.000000,
"WE2094","JUST BRAKES - LAKEWOOD #56","171","DOMANSKI KEN","kdomanski","five mile",6000,0,0,500,0,0,0.000000,0.000000,,0.000000,0.000000,
"WE2385","JOHNS AUTOMOTIVE DIAGNOSTICS","171","DOMANSKI KEN","kdomanski","ROTATING ELECTRICAL",500,0,0,42,0,0,4.000000,-29.000000,-672.69%,270.650000,73.370000,27.11%
"WE1841","MANCINELLI'S , INC.","171","DOMANSKI KEN","kdomanski","Rotating electrical & Splash",0,0,0,0,0,0,5233.000000,1261.000000,24.10%,2011.360000,765.000000,38.03%
"WE1841","MANCINELLI'S , INC.","171","DOMANSKI KEN","kdomanski","fuel pumps",4800,0,0,400,0,0,5233.000000,1261.000000,24.10%,2011.360000,765.000000,38.03%
"WE2534","KING'S GARAGE","171","DOMANSKI KEN","kdomanski","Rotating electrical & Splash",0,0,0,0,0,0,1578.000000,416.000000,26.42%,1617.370000,586.310000,36.25%
"WE1647","FEDERAL VALLEY MOTORS INC.","171","DOMANSKI KEN","kdomanski","fuel pumps",4800,0,0,400,0,0,2175.000000,526.000000,24.21%,1432.560000,540.210000,37.71%
"WE1647","FEDERAL VALLEY MOTORS INC.","171","DOMANSKI KEN","kdomanski","ROTATING ELECTRIC",500,0,0,42,0,0,209.000000,18.000000,8.62%,301.530000,94.470000,31.33%
"WE2905","MERRILL AUTO ELECTRIC","171","DOMANSKI KEN","kdomanski","ROTATING ELECTRIC",500,0,0,42,0,0,28.000000,5.000000,20.64%,0.000000,0.000000,
"WE2905","MERRILL AUTO ELECTRIC","171","DOMANSKI KEN","kdomanski","five mile",36000,0,0,3000,0,0,595.000000,140.000000,23.60%,2292.660000,608.200000,26.53%
"WE2905","MERRILL AUTO ELECTRIC","171","DOMANSKI KEN","kdomanski","fuel pumps",4800,0,0,400,0,0,595.000000,140.000000,23.60%,2292.660000,608.200000,26.53%
"WE2905","MERRILL AUTO ELECTRIC","171","DOMANSKI KEN","kdomanski","fuel pumps",4800,0,0,400,0,0,595.000000,140.000000,23.60%,2292.660000,608.200000,26.53%
"WE1655","WESTLAND FIRESTONE","171","DOMANSKI KEN","kdomanski","five mile",24000,0,0,2000,0,0,164.000000,54.000000,33.26%,0.000000,0.000000,
"WE3810","SUNSET AUTO","171","DOMANSKI KEN","kdomanski","Rotating electrical & Splash   ",0,0,0,0,0,0,523.000000,158.000000,30.36%,720.070000,233.730000,32.46%
"WE3810","SUNSET AUTO","171","DOMANSKI KEN","kdomanski","five mile",0,0,0,0,0,0,523.000000,158.000000,30.36%,720.070000,233.730000,32.46%
"WE1756","G & T AUTOMOTIVE","171","DOMANSKI KEN","kdomanski","fuel pumps",4800,0,0,400,0,0,1393.000000,368.000000,26.43%,1018.140000,409.730000,40.24%
"WE1756","G & T AUTOMOTIVE","171","DOMANSKI KEN","kdomanski","Rotating electrical & Splash",0,0,0,0,0,0,1393.000000,368.000000,26.43%,1018.140000,409.730000,40.24%
